model_gene_id	TPM_gmean
g.580.peg.80	95.46210247
g.580.peg.1954	195.9565116
g.580.peg.1660	443.8324376
g.580.peg.1289	2107.173456
g.580.peg.1029	1254.32985
g.580.peg.1837	1191.70474
g.580.peg.138	122.5568589
g.580.peg.1256	58.19742124
g.580.peg.1218	84.00844094
g.580.peg.95	56.45670284
g.580.peg.560	128.4088766
g.580.peg.1581	473.0314943
g.580.peg.710	187.8414496
g.580.peg.911	63.93921712
g.580.peg.32	303.1690316
g.580.peg.5	1116.135768
g.580.peg.1085	76.32696689
g.580.peg.1785	82.1636702
g.580.peg.1814	83.61535641
g.580.peg.127	72.82152134
g.580.peg.1415	108.7309869
g.580.peg.1666	400.8048946
g.580.peg.1352	444.5445971
g.580.peg.1103	253.188344
g.580.peg.2210	45.87145349
g.580.peg.2065	251.4030382
g.580.peg.140	116.8006658
g.580.peg.1177	79.07991555
g.580.peg.1741	41.35904998
g.580.peg.13	215.8503107
g.580.peg.487	353.3822903
g.580.peg.1250	97.25275044
267747.1.peg.1338	35.15352265
g.580.peg.1873	53.12316358
g.580.peg.1479	424.5960305
g.580.peg.274	36.59620251
g.580.peg.2373	73.94446908
g.580.peg.2391	19.83242001
g.580.peg.634	65.13310946
g.580.peg.518	17.70354591
g.580.peg.1480	139.6714055
g.580.peg.1428	278.3869967
g.580.peg.549	89.13807588
g.580.peg.890	102.1329942
g.580.peg.1874	147.564291
g.580.peg.1092	284.4201283
g.580.peg.2266	91.90374244
g.580.peg.2335	116.0330829
g.580.peg.1763	185.3254218
g.580.peg.198	105.5322547
g.580.peg.1162	107.6393603
g.580.peg.2102	65.56223069
g.580.peg.1068	155.8664589
g.580.peg.1893	26.51282831
g.580.peg.1667	41.21620713
g.580.peg.1518	76.2805279
g.580.peg.8	195.0233538
g.580.peg.14	70.5072654
g.580.peg.2276	97.97788562
g.580.peg.2220	50.31234877
g.580.peg.438	27.61480691
g.580.peg.1437	229.1921325
g.580.peg.395	174.9580059
g.580.peg.2178	90.07074209
g.580.peg.139	47.86133022
g.580.peg.2105	105.4231979
g.580.peg.1272	395.5409161
g.580.peg.1820	240.7575565
g.580.peg.688	48.83029509
g.580.peg.640	97.07588519
g.580.peg.1306	27.72977685
g.580.peg.1987	47.93471424
g.580.peg.830	285.0940544
g.580.peg.1329	209.1632947
g.580.peg.336	49.40333455
g.580.peg.2061	87.09148629
g.580.peg.1349	50.12268464
g.580.peg.92	211.0706172
g.580.peg.125	149.8379514
g.580.peg.2154	114.7899742
267747.1.peg.309	720.4621281
g.580.peg.1790	720.4621281
g.580.peg.1383	173.5121656
g.580.peg.421	70.34348582
g.580.peg.479	24.0568815
g.580.peg.2125	386.5693659
g.580.peg.1724	93.07755072
g.580.peg.1961	65.72534975
g.580.peg.1865	179.6825872
g.580.peg.1871	19.72885315
g.580.peg.523	208.1489914
g.580.peg.1463	118.5741532
g.580.peg.361	85.91732087
g.580.peg.1300	431.1278157
g.580.peg.795	55.60180667
g.580.peg.1940	208.302348
g.580.peg.1341	309.7538192
g.580.peg.2363	567.9154461
g.580.peg.872	59.99485954
g.580.peg.944	116.0565517
g.580.peg.164	87.83471693
g.580.peg.929	126.7615398
g.580.peg.84	129.5634215
g.580.peg.1030	55.50690769
g.580.peg.1648	106.1512026
g.580.peg.663	338.6546161
g.580.peg.1571	121.0404365
g.580.peg.749	136.7721603
g.580.peg.1653	3940.214922
