pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_1174	0.07728375752521101	-0.4552264705882353	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_1181	0.20631752339563794	0.3354	Cutibacterium_acnes	0.6668477095466155	FALSE	Malassezia_restricta
DNF11_1233	0.2541458723402031	-0.30505882352941177	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_1241	0.9329670608482441	0.02047941176470588	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_1254	0.5340911513428286	0.1686941176470588	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_1259	0.7063789941307314	0.10271764705882352	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_1283	0.10463568126867098	0.4222941176470588	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_1327	0.032037916189110206	-0.5378588235294117	Cutibacterium_acnes	0.3707865168322837	FALSE	Malassezia_restricta
DNF11_1332	0.1908488052252332	0.3454735294117647	Cutibacterium_acnes	0.6641183200969731	FALSE	Malassezia_restricta
DNF11_1400	0.33798225729758635	0.2576147058823529	Cutibacterium_acnes	0.7394806798686683	FALSE	Malassezia_restricta
DNF11_1407	0.5600920609299148	0.1580705882352941	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_1418	0.3044779357995174	-0.27463529411764703	Cutibacterium_acnes	0.7353442822816195	FALSE	Malassezia_restricta
DNF11_1496	0.7805881783187103	-0.07597941176470588	Cutibacterium_acnes	0.9064088130973496	FALSE	Malassezia_restricta
DNF11_1499	0.37461728582258497	0.23952647058823529	Cutibacterium_acnes	0.7789515938342144	FALSE	Malassezia_restricta
DNF11_1502	0.3627039869572074	-0.2442705882352941	Cutibacterium_acnes	0.7723461369324064	FALSE	Malassezia_restricta
DNF11_1503	0.24134465279659448	0.3124470588235294	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_1558	0.10198069583806998	-0.42623529411764705	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_1562	0.5969909630199537	0.14388823529411765	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_1564	0.02074664954915616	-0.5749764705882353	Cutibacterium_acnes	0.2888571975690204	FALSE	Malassezia_restricta
DNF11_1667	0.1504739371257398	0.37748529411764703	Cutibacterium_acnes	0.6394147279660116	FALSE	Malassezia_restricta
DNF11_1669	0.5322916628441945	-0.16936470588235294	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_1681	0.004381131418716945	-0.6730264705882353	Cutibacterium_acnes	0.09912309834847087	FALSE	Malassezia_restricta
DNF11_1682	0.6145737739572176	0.13681470588235292	Cutibacterium_acnes	0.834373115049548	FALSE	Malassezia_restricta
DNF11_1683	0.21394762885663896	-0.33085882352941176	Cutibacterium_acnes	0.6793775582991518	FALSE	Malassezia_restricta
DNF11_1725	0.06066466568945666	-0.47965294117647056	Cutibacterium_acnes	0.49910474953598427	FALSE	Malassezia_restricta
DNF11_1757	0.37871679700227	0.23637941176470587	Cutibacterium_acnes	0.7789515938342144	FALSE	Malassezia_restricta
DNF11_1846	0.8690569006903436	-0.04480882352941176	Cutibacterium_acnes	0.9363053513390011	FALSE	Malassezia_restricta
DNF11_1858	0.16467527772493804	-0.36625588235294115	Cutibacterium_acnes	0.6479614188742128	FALSE	Malassezia_restricta
DNF11_1970	0.05668446417621654	-0.4864147058823529	Cutibacterium_acnes	0.48856609599500916	FALSE	Malassezia_restricta
