TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX14354465	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:173-85587
EXPERIMENT	ERX14354466	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:174-85589
EXPERIMENT	ERX14354467	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:174-85591
EXPERIMENT	ERX14354468	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:174-85593
EXPERIMENT	ERX14354469	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:175-85595
EXPERIMENT	ERX14354470	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:175-85597
EXPERIMENT	ERX14354471	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:175-85599
EXPERIMENT	ERX14354472	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:176-85601
EXPERIMENT	ERX14354473	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:176-85603
EXPERIMENT	ERX14354474	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:176-85605
EXPERIMENT	ERX14354475	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:177-85607
EXPERIMENT	ERX14354476	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:177-85609
EXPERIMENT	ERX14354477	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:177-85611
EXPERIMENT	ERX14354478	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:178-85613
EXPERIMENT	ERX14354479	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:178-85615
EXPERIMENT	ERX14354480	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:178-85617
EXPERIMENT	ERX14354481	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:179-85619
EXPERIMENT	ERX14354482	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:179-85621
EXPERIMENT	ERX14354483	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:179-85623
EXPERIMENT	ERX14354484	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:180-85625
EXPERIMENT	ERX14354485	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:180-85627
EXPERIMENT	ERX14354486	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:180-85629
EXPERIMENT	ERX14354487	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:180-85631
EXPERIMENT	ERX14354488	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:181-85633
EXPERIMENT	ERX14354489	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:181-85635
EXPERIMENT	ERX14354490	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:181-85637
EXPERIMENT	ERX14354491	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:182-85639
EXPERIMENT	ERX14354492	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:182-85641
EXPERIMENT	ERX14354493	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:182-85643
EXPERIMENT	ERX14354494	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:183-85645
EXPERIMENT	ERX14354495	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:183-85647
EXPERIMENT	ERX14354496	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:183-85649
EXPERIMENT	ERX14354497	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:184-85651
EXPERIMENT	ERX14354498	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:184-85653
EXPERIMENT	ERX14354499	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:184-85655
EXPERIMENT	ERX14354500	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:185-85657
EXPERIMENT	ERX14354501	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:185-85659
EXPERIMENT	ERX14354502	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:185-85661
EXPERIMENT	ERX14354503	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:186-85663
EXPERIMENT	ERX14354504	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:186-85665
EXPERIMENT	ERX14354505	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:186-85667
EXPERIMENT	ERX14354506	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:186-85669
EXPERIMENT	ERX14354507	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:187-85671
