LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT	DV200
MHS432	89957927	89154615	0.763953	88904974	61492574	15219422	15219422	28.74	476519	14742903	14736464	89.17
MHS433	72192476	71324290	0.74679	63512086	31140179	3935077	3935077	64.98	573789	3361288	3302667	63.32
MHS434	37304704	36993698	0.741748	36940905	31261640	3657231	3657231	70.59	144259	3512972	3510358	86.87
MHS435	48138171	47715505	0.753193	47315389	18952367	2497344	2497344	68.63	70945	2426399	2420849	81.29
MHS436	37359277	36870889	0.758804	36679974	33857081	3276657	3276657	70.97	201869	3074788	3069593	72.79
MHS437	32278317	31803923	0.737381	31459934	24487612	2926341	2926341	53.41	215666	2710675	2702464	76.1
MHS438	31378281	30733294	0.707174	30570160	28264940	3610876	3610876	75.75	96607	3514269	3509598	85.82
MHS439	43786750	43302132	0.722906	42491965	34338169	4351800	4351800	71.46	301859	4049941	4041495	76.71
MHS440	61031007	60385474	0.724878	59884400	50431885	6175213	6175213	72.77	369171	5806042	5797046	88.71
MHS441	66426802	65397059	0.727592	15154096	13960951	1861714	1861714	51.4	193684	1668030	1362669	62.47
MHS442	41022938	40571937	0.71627	39279495	28240065	3950624	3950624	63.47	440858	3509766	3496652	80.41
MHS443	51364425	50781865	0.688913	50092377	42281679	6587376	6587376	76.35	239480	6347896	6338110	83.13
MHS444	110472023	109748034	0.733104								0	error
MHS445	37251288	36645057	0.610233	36644741	1552105	951687	951687	4.11	1664	950023	948814	92.63
MHS583	30651847	30084164	0.563987	30044686	28617157	7752488	7752488	82.78	332905	7419583	7416093	86.75
MHS584	32486744	31935477	0.586497	31901231	30689089	7599508	7599508	83.63	299093	7300415	7291086	86.75
MHS585	35645213	34957937	0.641928	34873681	18667453	5107899	5107899	80.69	153353	4954546	4949858	76.93
MHS586	42152173	41083476	0.650904	40974119	20935285	5586239	5586239	79.36	180800	5405439	5399315	76.93
MHS587	28571588	27396989	0.647715	27132440	25716622	3756120	3756120	75.62	177512	3578608	3572837	92.93
MHS588	24422070	22930220	0.617163	22739082	22115179	3368029	3368029	75.93	122146	3245883	3239415	92.93
MHS589	36002123	34891431	0.650541	34781343	28914620	4827612	4827612	5.73	57683	4769929	4763433	92.63
MHS590	36580486	35430343	0.652269	35270188	30131305	4881136	4881136	5.77	245447	4635689	4628769	92.63
MHS593	105444130	100618501	0.708008	100179606	98188921	12039329	12039329	67.27	514184	11525145	11501814	89.17
MHS594	113757378	107584934	0.706792	106531175	88955438	10650853	10650853	64.07	326260	10324593	10285615	89.24
MHS598	21554324	21239701	0.419683	21177195	19974619	9689248	9689248	75.37	327994	9361254	9355563	83.18
MHS602	17790694	15261243	0.557596	10603210	9907676	1461371	1461371	41.7	365829	1095542	1044326	48.78
